"","Type","Flora","Batch"
"4011","HM20","S",9
"4012","HM20","S",9
"4014","HM20","S",9
"4015","HM20","S",9
"4016","HM20","S",9
"4017","HM20","S",9
"4018","HM20","S",9
"4019","HM20","S",9
"4020","HM20","S",9
"4021","HM20","S",9
"4022","HM20","S",9
"4023","HM20","S",9
"2133","HM20","S",10
"2216","HM20","S",10
"2330","HM20","S",10
"2417","HM20","S",10
"2573","HM20","S",10
"2610","HM20","S",10
"2771","HM20","S",10
"2818","HM20","S",10
"29100","HM20","S",10
"30100","HM20","S",10
"31","HM20","S",10
"3277","HM20","S",10
"3312","HM20","S",10
"3415","HM20","S",10
"35","HM20","S",10
"3643","HM20","S",10
"3726","HM20","S",10
"3843","HM20","S",10
"3917","HM20","S",10
"4013","HM20","S",10
"3416","HM20","S",11
"34210","HM20","S",11
"3431","HM20","S",11
"34410","HM20","S",11
"34510","HM20","S",11
"34610","HM20","S",11
"3474","HM20","S",11
"34810","HM20","S",11
"34910","HM20","S",11
"35010","HM20","S",11
"3517","HM20","S",11
"35210","HM20","S",11
"35310","HM20","S",11
"3545","HM20","S",11
"3558","HM20","S",11
"35610","HM20","S",11
"35710","HM20","S",11
"358","HM20","S",11
"35910","HM20","S",11
"36010","HM20","S",11
"36110","HM20","S",11
"36210","HM20","S",11
"6341","HM20","S",12
"6351","HM20","S",12
"6361","HM20","S",12
"6371","HM20","S",12
"6381","HM20","S",12
"6391","HM20","S",12
"6401","HM20","S",12
"6411","HM20","S",12
"6421","HM20","S",12
"6431","HM20","S",12
"6441","HM20","S",12
"6451","HM20","S",12
"6461","HM20","S",12
"6471","HM20","S",12
"6481","HM20","S",12
"6491","HM20","S",12
"6501","HM20","S",12
"6511","HM20","S",12
"6521","HM20","S",12
"6531","HM20","S",12
"6541","HM20","S",12
"6551","HM20","S",12
"6561","HM20","S",12
"6571","HM20","S",12
"6581","HM20","S",12
"6591","HM20","S",12
"6601","HM20","S",12
"6611","HM20","S",12
"908","HM20","S",13
"909","HM20","S",13
"910","HM20","S",13
"911","HM20","S",13
"912","HM20","S",13
"913","HM20","S",13
"914","HM20","S",13
"915","HM20","S",13
"916","HM20","S",13
"917","HM20","S",13
"918","HM20","S",13
"919","HM20","S",13
"920","HM20","S",13
"921","HM20","S",13
"922","HM20","S",13
"923","HM20","S",13
"924","HM20","S",13
"925","HM20","S",13
"926","HM20","S",13
"927","HM20","S",13
"928","HM20","S",13
"929","HM20","S",13
"930","HM20","S",13
"931","HM20","S",13
"932","HM20","S",13
"933","HM20","S",13
"934","HM20","S",13
"935","HM20","S",13
"936","HM20","S",13
"937","HM20","S",13
"938","HM20","S",13
"939","HM20","S",13
"940","HM20","S",13
"941","HM20","S",13
"942","HM20","S",13
"943","HM20","S",13
"944","HM20","S",13
"1190","HM20","S",14
"1191","HM20","S",14
"1192","HM20","S",14
"1193","HM20","S",14
"1194","HM20","S",14
"1195","HM20","S",14
"1196","HM20","S",14
"1197","HM20","S",14
"1198","HM20","S",14
"1199","HM20","S",14
"1200","HM20","S",14
"1201","HM20","S",14
"1202","HM20","S",14
"1203","HM20","S",14
"1204","HM20","S",14
"1205","HM20","S",14
"1206","HM20","S",14
"1207","HM20","S",14
"1208","HM20","S",14
"1209","HM20","S",14
"1210","HM20","S",14
"1211","HM20","S",14
"1212","HM20","S",14
"1213","HM20","S",14
"1214","HM20","S",14
"1215","HM20","S",14
"1216","HM20","S",14
"1217","HM20","S",14
"1218","HM20","S",14
"1219","HM20","S",14
"1220","HM20","S",14
"1221","HM20","S",14
"1222","HM20","S",14
"1312","HM20","S",15
"1313","HM20","S",15
"1314","HM20","S",15
"1316","HM20","S",15
"1318","HM20","S",15
"1319","HM20","S",15
"1320","HM20","S",15
"1322","HM20","S",15
"1323","HM20","S",15
"1324","HM20","S",15
"1325","HM20","S",15
"1326","HM20","S",15
"1327","HM20","S",15
"1328","HM20","S",15
