"","Type","Flora","Batch"
"2901","HM20","C",4
"2902","HM20","C",4
"2903","HM20","C",4
"2905","HM20","C",4
"2906","HM20","C",4
"2907","HM20","C",4
"2908","HM20","C",4
"2909","HM20","C",4
"2910","HM20","C",4
"2911","HM20","C",4
"2912","HM20","C",4
"2913","HM20","C",4
"2914","HM20","C",4
"2915","HM20","C",4
"2916","HM20","C",4
"2917","HM20","C",4
"2918","HM20","C",4
"2919","HM20","C",4
"3160","HM20","C",5
"3164","HM20","C",5
"3165","HM20","C",5
"3166","HM20","C",5
"3167","HM20","C",5
"3168","HM20","C",5
"3169","HM20","C",5
"3170","HM20","C",5
"3171","HM20","C",5
"3172","HM20","C",5
"3173","HM20","C",5
"3174","HM20","C",5
"3175","HM20","C",5
"3176","HM20","C",5
"3177","HM20","C",5
"3179","HM20","C",5
"3180","HM20","C",5
"3181","HM20","C",5
"3182","HM20","C",5
"3441","HM20","C",6
"3442","HM20","C",6
"3443","HM20","C",6
"3444","HM20","C",6
"3445","HM20","C",6
"3446","HM20","C",6
"3447","HM20","C",6
"3448","HM20","C",6
"3449","HM20","C",6
"3450","HM20","C",6
"3451","HM20","C",6
"3452","HM20","C",6
"3453","HM20","C",6
"3454","HM20","C",6
"3455","HM20","C",6
"3456","HM20","C",6
"3457","HM20","C",6
"3458","HM20","C",6
"3459","HM20","C",6
"3460","HM20","C",6
"3461","HM20","C",6
"3462","HM20","C",6
"3463","HM20","C",6
"3464","HM20","C",6
"3465","HM20","C",6
"3466","HM20","C",6
"3735","HM20","C",7
"3736","HM20","C",7
"3737","HM20","C",7
"3738","HM20","C",7
"3739","HM20","C",7
"3742","HM20","C",7
"3743","HM20","C",7
"3744","HM20","C",7
"3745","HM20","C",7
"3746","HM20","C",7
"3747","HM20","C",7
"3748","HM20","C",7
"3749","HM20","C",7
"3750","HM20","C",7
"3751","HM20","C",7
"3752","HM20","C",7
"3753","HM20","C",7
"3754","HM20","C",7
"3755","HM20","C",7
"3756","HM20","C",7
"3757","HM20","C",7
"3758","HM20","C",7
"3759","HM20","C",7
"3760","HM20","C",7
"3761","HM20","C",7
"3762","HM20","C",7
"3763","HM20","C",7
"3764","HM20","C",7
"3765","HM20","C",7
"4032","HM20","C",8
"4033","HM20","C",8
"4034","HM20","C",8
"4035","HM20","C",8
"4036","HM20","C",8
"4037","HM20","C",8
"4038","HM20","C",8
"4039","HM20","C",8
"4040","HM20","C",8
"4041","HM20","C",8
"4042","HM20","C",8
"4043","HM20","C",8
"4044","HM20","C",8
"4045","HM20","C",8
"4046","HM20","C",8
"4047","HM20","C",8
"4048","HM20","C",8
"4049","HM20","C",8
"4050","HM20","C",8
"4051","HM20","C",8
"4052","HM20","C",8
"4053","HM20","C",8
"4054","HM20","C",8
"4055","HM20","C",8
"4325","HM20","C",9
"4326","HM20","C",9
"4327","HM20","C",9
"4328","HM20","C",9
"4329","HM20","C",9
"4330","HM20","C",9
"4331","HM20","C",9
"4332","HM20","C",9
"4333","HM20","C",9
"4334","HM20","C",9
"4335","HM20","C",9
"4336","HM20","C",9
"4337","HM20","C",9
"4338","HM20","C",9
"4339","HM20","C",9
"4340","HM20","C",9
"4341","HM20","C",9
"4342","HM20","C",9
"4343","HM20","C",9
"4344","HM20","C",9
"4345","HM20","C",9
"4346","HM20","C",9
"2226","HM20","C",10
"2329","HM20","C",10
"2473","HM20","C",10
"2522","HM20","C",10
"2687","HM20","C",10
"2722","HM20","C",10
"2826","HM20","C",10
"2922","HM20","C",10
"3025","HM20","C",10
"3135","HM20","C",10
"3210","HM20","C",10
"3316","HM20","C",10
"34100","HM20","C",10
"3566","HM20","C",10
"3620","HM20","C",10
"3740","HM20","C",10
"38100","HM20","C",10
"3923","HM20","C",10
"4059","HM20","C",10
"4134","HM20","C",10
"4213","HM20","C",10
"4315","HM20","C",10
"4472","HM20","C",10
"31810","HM20","C",11
"3192","HM20","C",11
"32010","HM20","C",11
"3213","HM20","C",11
"32210","HM20","C",11
"32310","HM20","C",11
"3242","HM20","C",11
"3252","HM20","C",11
"32610","HM20","C",11
"3279","HM20","C",11
"32810","HM20","C",11
"3298","HM20","C",11
"3306","HM20","C",11
"3319","HM20","C",11
"33210","HM20","C",11
"333","HM20","C",11
