"","Type","Flora","Batch"
"1544","HM20","A",35
"1545","HM20","A",35
"1546","HM20","A",35
"1548","HM20","A",35
"1549","HM20","A",35
"1550","HM20","A",35
"1551","HM20","A",35
"1552","HM20","A",35
"1553","HM20","A",35
"1554","HM20","A",35
"1555","HM20","A",35
"1556","HM20","A",35
"1557","HM20","A",35
"1558","HM20","A",35
"1559","HM20","A",35
"1561","HM20","A",35
"1562","HM20","A",35
"1563","HM20","A",35
"1564","HM20","A",36
"1565","HM20","A",36
"1566","HM20","A",36
"1567","HM20","A",36
"1568","HM20","A",36
"1569","HM20","A",36
"1570","HM20","A",36
"1571","HM20","A",36
"1572","HM20","A",36
"1573","HM20","A",36
"1574","HM20","A",36
"1575","HM20","A",36
"1576","HM20","A",36
"1577","HM20","A",36
"1578","HM20","A",36
"1579","HM20","A",36
"1580","HM20","A",36
"1581","HM20","A",36
"1582","HM20","A",36
"1583","HM20","A",36
"1584","HM20","A",36
"1585","HM20","A",36
"1586","HM20","A",36
"1587","HM20","A",37
"1588","HM20","A",37
"1589","HM20","A",37
"1590","HM20","A",37
"1591","HM20","A",37
"1592","HM20","A",37
"1593","HM20","A",37
"1594","HM20","A",37
"1595","HM20","A",37
"1596","HM20","A",37
"1597","HM20","A",37
"1598","HM20","A",37
"1599","HM20","A",37
"1600","HM20","A",37
"1601","HM20","A",37
"1602","HM20","A",37
"1603","HM20","A",37
"1604","HM20","A",37
"1605","HM20","A",37
"1606","HM20","A",37
"1607","HM20","A",37
"1608","HM20","A",37
"1609","HM20","A",37
"1610","HM20","A",37
"1611","HM20","A",37
"1612","HM20","A",37
"1613","HM20","A",38
"1614","HM20","A",38
"1615","HM20","A",38
"1616","HM20","A",38
"1617","HM20","A",38
"1618","HM20","A",38
"1619","HM20","A",38
"1620","HM20","A",38
"1621","HM20","A",38
"1622","HM20","A",38
"1623","HM20","A",38
"1624","HM20","A",38
"1625","HM20","A",38
"1626","HM20","A",38
"1627","HM20","A",38
"1628","HM20","A",38
"1629","HM20","A",38
"1630","HM20","A",38
"1631","HM20","A",38
"1632","HM20","A",38
"1633","HM20","A",38
"1634","HM20","A",38
"1635","HM20","A",38
"1636","HM20","A",38
"1637","HM20","A",38
"1638","HM20","A",38
"1639","HM20","A",38
"1640","HM20","A",38
"1641","HM20","A",39
"1642","HM20","A",39
"1643","HM20","A",39
"1644","HM20","A",39
"1645","HM20","A",39
"1646","HM20","A",39
"1647","HM20","A",39
"1648","HM20","A",39
"1649","HM20","A",39
"1650","HM20","A",39
"1651","HM20","A",39
"1652","HM20","A",39
"1653","HM20","A",39
"1654","HM20","A",39
"1655","HM20","A",39
"1656","HM20","A",39
"1657","HM20","A",39
"1658","HM20","A",39
"1659","HM20","A",39
"1660","HM20","A",39
"1661","HM20","A",39
"1662","HM20","A",39
"1685","HM20","A",40
"1686","HM20","A",40
"1687","HM20","A",40
"1688","HM20","A",40
"1689","HM20","A",40
"1690","HM20","A",40
"1691","HM20","A",40
"1692","HM20","A",40
"1693","HM20","A",40
"1694","HM20","A",40
"1695","HM20","A",40
"1696","HM20","A",40
"1697","HM20","A",40
"1698","HM20","A",40
"1699","HM20","A",40
"1700","HM20","A",40
"1701","HM20","A",40
"1702","HM20","A",40
"1703","HM20","A",40
