BP,SU
1100,0.38
1101,0.42
1102,0.5
1103,0.69
1104,0.05
1105,0.24
1106,0.62
1107,0.38
1108,0.09
1109,0.33
1110,0.19
1111,-0.07
1112,-0.19
1113,-0.25
1114,-0.01
1115,0.24
1116,0.18
1117,0.13
1118,0.07
1119,0
1120,-0.12
1121,0.12
1122,-0.04
1123,-0.08
1124,0.2
1125,-0.02
1126,0.28
1127,0.11
1128,0.31
1129,0.23
1130,0.71
1131,0.25
1132,0.39
1133,0.81
1134,0.4
1135,0.4
1136,0.55
1137,0.37
1138,0.25
1139,0.23
1140,0.42
1141,0.57
1142,0.68
1143,0.3
1144,0.79
1145,0.58
1146,0.4
1147,0.46
1148,0.6
1149,0.65
1150,0.39
1151,0.42
1152,0.44
1153,0.25
1154,-0.1
1155,0.05
1156,0.29
1157,-0.08
1158,-0.04
1159,0.3
1160,-0.04
1161,0.2
1162,0.03
1163,0.16
1164,-0.08
1165,-0.05
1166,0.23
1167,-0.3
1168,-0.03
1169,-0.35
1170,-0.27
1171,-0.28
1172,-0.62
1173,-0.43
1174,-0.29
1175,-0.66
1176,-0.43
1177,-0.13
1178,-0.46
1179,-0.9
1180,-0.41
1181,-0.74
1182,-0.72
1183,-0.75
1184,-0.52
1185,-0.63
1186,-0.13
1187,-0.23
1188,-0.08
1189,-0.15
1190,-0.25
1191,-0.23
1192,-0.15
1193,-0.39
1194,-0.37
1195,-0.57
1196,-0.38
1197,-0.12
1198,-0.21
1199,-0.35
1200,-0.39
1201,-0.25
1202,-0.39
1203,-0.16
1204,-0.05
1205,-0.03
1206,-0.24
1207,0
1208,0.08
1209,0.14
1210,0.32
1211,-0.37
1212,-0.03
1213,-0.09
1214,-0.26
1215,-0.21
1216,0.08
1217,0.21
1218,0.08
1219,-0.1
1220,-0.22
1221,0.03
1222,0.22
1223,0.47
1224,-0.2
1225,0.5
1226,0.34
1227,0.54
1228,0.37
1229,0.41
1230,0.19
1231,0.21
1232,0.15
1233,0.23
1234,0.14
1235,0.32
1236,0.16
1237,0.39
1238,0.33
1239,0.18
1240,0.5
1241,0.61
1242,0.61
1243,0.65
1244,1.08
1245,1.28
1246,0.92
1247,0.81
1248,0.98
1249,0.86
1250,0.84
1251,0.7
1252,1.44
1253,1.3
1254,1.9
1255,1.46
1256,1.9
1257,1.62
1258,1.89
1259,2
1260,2.03
1261,2.4
1262,2.7
1263,2.21
1264,3.15
1265,2.22
1266,1.61
1267,2.36
1268,0.45
1269,1.29
1270,0.97
1271,1.91
1272,1.59
1273,1.67
1274,1.83
1275,1.42
1276,1.06
1277,1.33
1278,0.73
1279,0.98
1280,0.86
1281,1.74
1282,0.67
1283,0.32
1284,1.32
1285,0.65
1286,0.72
1287,0.59
1288,0.41
1289,0.28
1290,0.49
1291,0.66
1292,0.51
1293,0.44
1294,0.65
1295,0.38
1296,0.33
1297,-0.07
1298,0.28
1299,0.47
1300,0.21
1301,0.4
1302,0.43
1303,0.59
1304,1.52
1305,0.93
1306,1.07
1307,0.43
1308,0.55
1309,0.68
1310,0.67
1311,1.01
1312,0.64
1313,0.74
1314,0.74
1315,0.83
1316,1.03
1317,0.88
1318,0.61
1319,0.75
1320,0.27
1321,1.52
1322,0.84
1323,0.19
1324,0.94
1325,0.22
1326,0.93
1327,1.07
1328,0.96
1329,0.99
1330,1.28
1331,1.41
1332,1.44
1333,1.68
1334,1.02
1335,0.77
1336,0.89
1337,0.98
1338,1.11
1339,0.82
1340,0.67
1341,0.23
1342,1.18
1343,0.62
1344,0.9
1345,0.49
1346,0.39
1347,0.45
